Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Bogor,972145,81573,...,341168,233481,1541172,1650,41950,,100,7440,,62300,6900,19650,472321
Sukabumi,1049135,2549150,...,97425,215160,18805,355,,,345,,,,20050,23835,42400
Cianjur,1806541,3610756,...,243353,476279,113040,271,3645,2403,16084,,,45,570,34114,168237
Bandung,302889,40365,...,18995,82604,22225,,1949,777,216,817,610,674,8871,15625,75611
Garut,4684903,22997079,...,113146,5759287,118058,,3630,,600,,,,,37841,92304
Tasikmalaya,408019,4849826,...,10238,36182,10868,77,216,4567,8248,10,,,65,231,17425
Ciamis,397967,1706055,...,523000,513984,121782,,1400,,784,,,,,19147,39710
Kuningan,1226392,626497,...,2010,49490,4425,,,,,,,,,232,
Cirebon,6800,300,...,3700,5500,5580,,,60,180,200,,,800,535,61380
Majalengka,1686061,106492,...,70,570059,37786,,1050,247,267,,32,334711,33,2606,20043
Sumedang,696591,249020,...,1988674,696923,501430,,,,,,,,,798,750
Indramayu,80432,,...,22597,43174,34442,,4250,,2873,,9025,9085,9132,31318,65928
Subang,755658,1100,...,1023432,405725,666642,,,,350,,,,,772,2222
Purwakarta,33354,28800,...,11452,12499,6787,,40,,30,,,,250,4255,5405
Karawang,2165,20000,...,14280,15428,15620,5000,500,180,500,90,1000,1500,2410,500,22640
Bekasi,12400,,...,259000,58400,322400,7500,,,,,,19500,15000,1000,89300
Bandung Barat,439472,431100,...,16442,170801,44324,4720,8212,705,3946,5300,370,760,8100,13365,31065
Pangandaran,124486,606691,...,101400,81400,26400,,,,,,,,,,750
Kota Bogor,3825,,...,1580,1585,540,,300,,,955,110,490,1010,525,1535
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,470,44000,...,113,,,,102,,,,,,,,
Kota Cirebon,15,,...,,,,,,,,,,,,,
Kota Bekasi,28604,,...,16954,14373,67390,3000,100,,,,,,,,
Kota Depok,6060,,...,3500,3050,4205,500,1325,,,,,,,18,5070
Kota Cimahi,1020,,...,30,240,40,10,,,,50,,,20,400,
Kota Tasikmalaya,213730,10120,...,3670,5910,8300,,,,,,,,1400,200,2100
Kota Banjar,8505,2900,...,11126,6729,7320,,,,,,,,,465,4200
Jawa Barat,14947639,37961824,...,4827355,9458263,3699581,23083,68669,8939,34523,14862,11147,429065,74611,207432,1220396
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
