Tahun,Kabupaten/Kota,Produksi_Total,LuasPanen_Total
2024,Bogor,34291058.0,3781850.0
2024,Sukabumi,9300351.0,4016660.0
2024,Cianjur,39189349.0,6475338.0
2024,Bandung,2387941.0,572228.0
2024,Garut,75424840.0,33806848.0
2024,Tasikmalaya,11663027.0,5345972.0
2024,Ciamis,2361684.0,3323829.0
2024,Kuningan,6351477.0,1909046.0
2024,Cirebon,482940.0,85035.0
2024,Majalengka,6161987.0,2759457.0
2024,Sumedang,13243146.0,4134186.0
2024,Indramayu,483957.0,312256.0
2024,Subang,14618297.0,2855901.0
2024,Purwakarta,385744.0,102872.0
2024,Karawang,118683.0,101813.0
2024,Bekasi,4209589.0,784500.0
2024,Bandung Barat,3677995.0,1178682.0
2024,Pangandaran,1209014.0,941127.0
2024,Kota Bogor,51925.0,12455.0
2024,Kota Bandung,17780.0,44685.0
2024,Kota Bekasi,244343.0,130421.0
2024,Kota Depok,34721.0,23728.0
2024,Kota Cimahi,9314.0,1810.0
2024,Kota Tasikmalaya,543052.0,245430.0
2024,Kota Banjar,143422.0,41245.0
2024,Jawa Barat,226605786.0,72987389.0
