Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg),Tahun,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Bogor,1846492.0,991086.0,0.0,991711.0,613219.0,9595520.0,10969.0,79570.0,0.0,1650.0,670.0,0.0,208625.0,2230.0,484840.0,2556630.0,2022,395155.0,422135.0,0.0,394387.0,189073.0,2448666.0,3050.0,45100.0,0.0,650.0,500.0,0.0,95700.0,700.0,22600.0,510025.0
Sukabumi,2460730.0,3274289.0,0.0,314467.0,980771.0,151250.0,10000.0,0.0,0.0,1450.0,0.0,8816.0,4320.0,7440.0,678325.0,430350.0,2022,2780367.0,1895720.0,0.0,206570.0,731935.0,176150.0,3000.0,0.0,0.0,845.0,0.0,15200.0,10800.0,12000.0,39143.0,143400.0
Cianjur,8432336.0,35049626.0,0.0,858371.0,872659.0,1176925.0,1321.0,44012.0,244014.0,462557.0,0.0,0.0,0.0,4758.0,1666446.0,1821455.0,2022,2020710.0,5137988.0,0.0,351232.0,321601.0,207488.0,880.0,5429.0,11328.0,26601.0,0.0,0.0,0.0,1748.0,35026.0,198616.0
Bandung,606097.0,92938.0,0.0,45304.0,219384.0,82058.0,2805.0,3191.0,18923.0,9465.0,811.0,0.0,25600.0,3765.0,227366.0,206429.0,2022,339831.0,101032.0,0.0,37992.0,163466.0,45190.0,2010.0,1035.0,1275.0,2850.0,758.0,0.0,5000.0,2425.0,18206.0,49910.0
Garut,30009597.0,12055152.0,0.0,147243.0,3479861.0,165117.0,0.0,56490.0,0.0,0.0,0.0,0.0,0.0,1388.0,94630.0,133878.0,2022,10186087.0,16082183.0,0.0,94214.0,1185352.0,57275.0,0.0,1486.0,0.0,0.0,0.0,0.0,0.0,373.0,6628.0,28146.0
Tasikmalaya,693207.0,19752744.0,0.0,44984.0,68407.0,66135.0,11650.0,7815.0,40764.0,8358.0,259.0,0.0,0.0,3328.0,6050.0,107692.0,2022,493703.0,8993672.0,0.0,29574.0,44558.0,42344.0,7500.0,2620.0,1391.0,2584.0,130.0,0.0,0.0,2546.0,313.0,19874.0
Ciamis,1709593.0,2744361.0,0.0,272330.0,775577.0,144225.0,0.0,16760.0,0.0,56140.0,150.0,0.0,0.0,0.0,116615.0,607810.0,2022,1425623.0,1307115.0,0.0,304047.0,1699391.0,131121.0,0.0,900.0,0.0,2051.0,500.0,0.0,0.0,0.0,14573.0,39191.0
Kuningan,365977.0,3487524.0,0.0,7615.0,101903.0,191157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4315.0,0.0,2022,141461.0,1355950.0,0.0,3570.0,53696.0,66046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
Cirebon,7614.0,150.0,0.0,1400.0,11063.0,18300.0,600.0,325.0,0.0,1570.0,350.0,850.0,902.0,584.0,3000.0,127119.0,2022,2700.0,300.0,0.0,700.0,10800.0,10800.0,600.0,150.0,0.0,175.0,100.0,250.0,205.0,405.0,200.0,31194.0
Majalengka,1555953.0,13800.0,0.0,6514.0,2086081.0,146111.0,0.0,610.0,0.0,700.0,28.0,2400.0,0.0,0.0,4817.0,1322.0,2022,565617.0,6581.0,0.0,3500.0,437885.0,37074.0,0.0,600.0,0.0,35.0,30.0,1100.0,0.0,0.0,947.0,250.0
