Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg)
Bogor,1846492,991086,...,991711,613219,9595520,10969,79570,,1650,670,,208625,2230,484840,2556630
Sukabumi,2460730,3274289,...,314467,980771,151250,10000,,,1450,,8816,4320,7440,678325,430350
Cianjur,8432336,35049626,...,858371,872659,1176925,1321,44012,244014,462557,,,,4758,1666446,1821455
Bandung,606097,92938,...,45304,219384,82058,2805,3191,18923,9465,811,,25600,3765,227366,206429
Garut,30009597,12055152,...,147243,3479861,165117,,56490,,,,,,1388,94630,133878
Tasikmalaya,693207,19752744,...,44984,68407,66135,11650,7815,40764,8358,259,,,3328,6050,107692
Ciamis,1709593,2744361,...,272330,775577,144225,,16760,,56140,150,,,,116615,607810
Kuningan,365977,3487524,...,7615,101903,191157,,,,,,,,,4315,
Cirebon,7614,150,...,1400,11063,18300,600,325,,1570,350,850,902,584,3000,127119
Majalengka,1555953,13800,...,6514,2086081,146111,,610,,700,28,2400,,,4817,1322
Sumedang,2812876,347385,...,7073691,2285731,1981813,,,,14460,,,,,13615,2250
Indramayu,78,,...,93,265,89,,,,,610,256,,,,261
Subang,2299065,1141,...,2601003,1747971,2092104,,,,650,,,,,104200,6626105
Purwakarta,47552,145096,...,21088,45905,22853,,716,240,574,,,,3575,19850,5277
Karawang,3450,595,...,150355,7753,10617,2500,357,600,25,,620,620,1455,3780,160740
Bekasi,20030,,...,682495,157530,1661800,34497,,,,,,50100,32100,,277400
Bandung Barat,414573,306882,...,54111,395922,276355,600,20036,29100,16546,1825,5200,3000,53400,51230,7160700
Pangandaran,1137549,1487059,...,32332,39975,8120,,,,,,,,,,9200
Kota Bogor,17205,2094,...,6728,7196,3800,2818,7560,7500,925,4060,720,1826,4312,1340,5400
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,30,,...,60,10,,,36,,,,,,,30,150
Kota Cirebon,,,...,,,,,,,,,,,,,
Kota Bekasi,98713,,...,13199,11097,88101,30000,200,600,650,,,,,,
Kota Depok,41338,,...,12100,17745,55460,,3150,,,,,,200,50,35900
Kota Cimahi,1995,,...,40,390,181,38,,,,60,,,35,15300,
Kota Tasikmalaya,103720,59000,...,2330,10772,20720,,,,,,,,1400,,13200
Kota Banjar,55800,3663,...,30249,61900,25475,,,,,,,,,4800,
Jawa Barat,54741570,79814585,...,13369813,13999087,17984286,107798,240828,341741,575720,8823,18862,294993,119970,3500599,20289268
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka sementara,,,,,,,,,,,,,,,,
